date,open,high,low,close,volume,Name,daily_percentage_change,rolling_30_day_avg
2013-02-08,97.25,97.33,96.73,97.25,2996000,BRK.B,,
2013-02-11,97.46,97.5,97.04,97.13,1765300,BRK.B,-0.0012339331619537742,
2013-02-12,97.07,97.99,97.01,97.7,2385700,BRK.B,0.005868423761968572,
2013-02-13,97.72,98.2,97.59,97.97,2450100,BRK.B,0.0027635619242578915,
2013-02-14,97.84,99.31,97.84,99.21,5013700,BRK.B,0.0126569357966724,
2013-02-15,99.64,99.79,99.23,99.77,5200600,BRK.B,0.005644592279004156,
2013-02-19,99.98,101.08,99.7,101.02,4290100,BRK.B,0.012528816277438109,
2013-02-20,101.14,101.49,100.02,100.22,5384400,BRK.B,-0.0079192239160562,
2013-02-21,100.09,100.55,99.67,100.17,6168500,BRK.B,-0.0004989024146876587,
2013-02-22,100.5,101.27,100.22,101.21,3448400,BRK.B,0.010382350004991435,
2013-02-25,101.74,102.0,98.44,98.58,5836200,BRK.B,-0.025985574547969525,
2013-02-26,99.05,101.0,98.25,98.72,4406400,BRK.B,0.0014201663623453092,
2013-02-27,98.58,101.27,98.58,101.21,4319700,BRK.B,0.02522285251215554,
2013-02-28,101.44,102.33,101.31,102.16,8875500,BRK.B,0.00938642426637687,
2013-03-01,101.45,102.25,100.44,102.05,4812800,BRK.B,-0.0010767423649177706,
2013-03-04,101.66,101.98,100.5,101.95,4314100,BRK.B,-0.00097991180793723,
2013-03-05,102.48,103.48,102.33,102.66,4449800,BRK.B,0.0069641981363412825,
2013-03-06,103.29,103.56,102.76,103.24,3316300,BRK.B,0.005649717514124277,
2013-03-07,103.25,103.58,103.03,103.41,2619400,BRK.B,0.0016466485858194664,
2013-03-08,103.98,104.0,103.1,103.63,3509600,BRK.B,0.002127453824581751,
2013-03-11,103.77,104.15,103.41,104.07,3268700,BRK.B,0.004245874746694951,
2013-03-12,104.09,104.19,102.12,103.01,3767500,BRK.B,-0.010185452099548267,
2013-03-13,103.06,103.7,102.97,103.65,2876900,BRK.B,0.006212989030191249,
2013-03-14,103.81,104.25,103.59,103.99,3178400,BRK.B,0.0032802701398937694,
2013-03-15,103.67,103.79,102.79,102.79,7253800,BRK.B,-0.011539571112606872,
2013-03-18,102.11,102.85,101.91,102.12,3585500,BRK.B,-0.0065181437883062715,
2013-03-19,102.37,102.74,101.3,101.77,3343300,BRK.B,-0.0034273403838622064,
2013-03-20,102.18,102.57,101.87,102.34,3284100,BRK.B,0.005600864694900338,
2013-03-21,101.94,102.57,101.73,101.96,4422700,BRK.B,-0.0037131131522377334,
2013-03-22,101.99,102.7,101.95,102.57,2427800,BRK.B,0.00598273832875637,101.25099999999999
2013-03-25,103.0,103.27,101.92,102.4,3238700,BRK.B,-0.0016574046992296726,101.42266666666666
2013-03-26,102.89,103.84,102.46,103.82,3473900,BRK.B,0.013867187499999878,101.64566666666666
2013-03-27,103.21,103.45,102.64,103.16,2358800,BRK.B,-0.0063571566172220826,101.82766666666666
2013-03-28,103.32,104.48,102.97,104.2,4531100,BRK.B,0.010081426909654965,102.03533333333333
2013-04-01,104.17,104.46,103.17,103.47,2416800,BRK.B,-0.007005758157389673,102.17733333333334
2013-04-02,103.96,105.5,103.8,105.14,4082200,BRK.B,0.016139943945104877,102.35633333333332
2013-04-03,105.53,105.53,104.05,104.24,3894300,BRK.B,-0.008560015217804886,102.46366666666667
2013-04-04,104.66,105.56,104.36,105.13,3836400,BRK.B,0.008537989255564088,102.62733333333334
2013-04-05,103.91,104.39,103.34,104.15,3680800,BRK.B,-0.009321792066964613,102.75999999999999
2013-04-08,104.54,105.29,103.62,105.26,2500000,BRK.B,0.010657705232837248,102.895
2013-04-09,105.38,105.47,104.78,105.12,2666600,BRK.B,-0.0013300399011970413,103.113
2013-04-10,105.27,106.37,104.91,106.33,3108600,BRK.B,0.011510654490106485,103.36666666666666
2013-04-11,106.38,106.98,106.02,106.73,3547000,BRK.B,0.0037618734129597074,103.55066666666667
2013-04-12,106.5,107.05,106.3,107.04,3082100,BRK.B,0.002904525438021196,103.71333333333332
2013-04-15,106.84,107.43,104.27,104.52,5594300,BRK.B,-0.023542600896861082,103.79566666666666
2013-04-16,105.29,107.49,105.15,107.16,4429800,BRK.B,0.025258323765786458,103.96933333333332
2013-04-17,106.42,106.69,104.3,105.17,4493500,BRK.B,-0.018570362075401223,104.05300000000001
2013-04-18,105.02,105.23,102.69,103.0,3964900,BRK.B,-0.02063326043548542,104.04500000000002
2013-04-19,103.46,105.46,103.09,105.28,4167300,BRK.B,0.022135922330097098,104.10733333333333
2013-04-22,105.52,105.72,104.13,105.02,3108100,BRK.B,-0.002469604863221933,104.15366666666667
2013-04-23,105.42,106.71,105.3,106.68,4082800,BRK.B,0.015806513045134363,104.24066666666667
2013-04-24,106.72,107.0,106.36,106.75,2443500,BRK.B,0.0006561679790025607,104.36533333333334
2013-04-25,107.02,108.04,106.82,107.47,3579400,BRK.B,0.006744730679156898,104.49266666666668
2013-04-26,107.54,107.9,106.5,107.1,3869800,BRK.B,-0.0034428212524425846,104.59633333333333
2013-04-29,107.19,107.4,106.41,106.61,2573900,BRK.B,-0.004575163398692763,104.72366666666667
2013-04-30,106.6,106.7,105.63,106.32,5047000,BRK.B,-0.002720195103648872,104.86366666666666
2013-05-01,105.97,107.09,105.97,106.12,3133100,BRK.B,-0.0018811136192624965,105.00866666666667
2013-05-02,106.49,107.33,106.24,107.3,2569000,BRK.B,0.011119487372785456,105.17399999999999
